iter	Passed	Remaining
0	3	301
1	5	246
2	6	210
3	7	188
4	9	178
5	10	170
6	12	162
7	13	160
8	32	326
9	34	306
10	35	288
11	37	271
12	38	258
13	40	245
14	41	234
15	42	223
16	44	215
17	46	211
18	48	205
19	49	198
20	51	192
21	52	186
22	53	180
23	55	174
24	56	169
25	57	164
26	60	163
27	62	161
28	64	157
29	65	153
30	66	148
31	68	145
32	69	141
33	70	137
34	72	133
35	73	131
36	75	129
37	77	126
38	79	124
39	80	121
40	82	118
41	82	114
42	83	111
43	85	108
44	86	106
45	88	103
46	90	101
47	91	99
48	93	97
49	94	94
50	96	92
51	97	89
52	98	87
53	100	85
54	101	82
55	102	80
56	104	79
57	106	77
58	108	75
59	109	73
60	111	71
61	112	69
62	114	67
63	116	65
64	119	64
65	121	62
66	123	60
67	125	59
68	127	57
69	129	55
70	132	54
71	134	52
72	136	50
73	137	48
74	138	46
75	140	44
76	141	42
77	143	40
78	144	38
79	146	36
80	148	34
81	149	32
82	151	30
83	152	29
84	154	27
85	155	25
86	156	23
87	158	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	168	10
94	170	8
95	171	7
96	172	5
97	174	3
98	175	1
99	177	0
