iter	Passed	Remaining
0	27	27146
1	30	15076
2	31	10574
3	35	8842
4	37	7478
5	39	6547
6	41	5933
7	43	5395
8	46	5143
9	62	6235
10	70	6356
11	73	6054
12	76	5791
13	80	5671
14	83	5476
15	86	5316
16	88	5117
17	90	4940
18	92	4759
19	101	4984
20	103	4825
21	105	4710
22	111	4717
23	114	4670
24	117	4590
25	119	4487
26	121	4396
27	133	4627
28	135	4541
29	137	4445
30	162	5086
31	165	5008
32	168	4924
33	169	4823
34	174	4802
35	177	4746
36	179	4684
37	181	4602
38	183	4517
39	196	4721
40	198	4643
41	200	4566
42	204	4556
43	207	4506
44	209	4451
45	212	4396
46	213	4329
47	217	4314
48	222	4325
49	224	4270
50	226	4211
51	229	4180
52	237	4239
53	239	4190
54	240	4140
55	243	4105
56	249	4132
57	252	4101
58	254	4055
59	256	4020
60	268	4130
61	271	4113
62	286	4263
63	288	4221
64	291	4196
65	294	4168
66	297	4146
67	299	4107
68	301	4070
69	304	4045
70	308	4035
71	310	4008
72	313	3976
73	314	3941
74	316	3908
75	327	3979
76	331	3969
77	333	3936
78	341	3980
79	343	3955
80	345	3925
81	347	3893
82	349	3866
83	355	3873
84	357	3853
85	360	3826
86	362	3799
87	369	3833
88	373	3826
89	375	3799
90	377	3773
91	380	3752
92	387	3782
93	402	3882
94	406	3871
95	408	3845
96	425	3961
97	432	3979
98	435	3959
99	436	3932
100	440	3921
101	443	3901
102	445	3882
103	448	3862
104	450	3837
105	460	3882
106	466	3891
107	473	3914
108	478	3915
109	480	3890
110	482	3863
111	487	3866
112	490	3849
113	492	3826
114	494	3805
115	496	3782
116	497	3756
117	501	3745
118	505	3742
119	507	3722
120	509	3701
121	511	3677
122	520	3707
123	522	3692
124	524	3671
125	526	3652
126	537	3694
127	540	3680
128	546	3687
129	552	3696
130	555	3685
131	563	3703
132	567	3698
133	569	3679
134	571	3663
135	576	3663
136	579	3649
137	581	3631
138	583	3614
139	586	3600
140	596	3635
141	598	3615
142	599	3595
143	601	3577
144	610	3599
145	612	3581
146	614	3564
147	616	3550
148	623	3561
149	625	3546
150	627	3530
151	630	3517
152	632	3503
153	638	3505
154	640	3491
155	643	3478
156	645	3464
157	653	3483
158	656	3472
159	658	3457
160	660	3441
161	673	3485
162	675	3468
163	677	3452
164	691	3498
165	693	3483
166	697	3477
167	702	3477
168	711	3497
169	713	3484
170	715	3468
171	718	3461
172	721	3450
173	728	3460
174	731	3449
175	733	3436
176	745	3467
177	747	3452
178	749	3436
179	752	3426
180	760	3439
181	762	3427
182	764	3413
183	767	3403
184	770	3395
185	773	3383
186	774	3369
187	778	3360
188	780	3347
189	783	3339
190	791	3352
191	793	3339
192	796	3329
193	804	3342
194	806	3328
195	808	3315
196	810	3304
197	822	3329
198	824	3317
199	826	3306
200	829	3297
201	837	3309
202	840	3301
203	848	3309
204	851	3303
205	854	3291
206	855	3278
207	861	3281
208	864	3269
209	866	3260
210	868	3248
211	881	3275
212	883	3263
213	885	3250
214	895	3271
215	900	3269
216	915	3304
217	923	3313
218	926	3303
219	928	3293
220	933	3289
221	939	3294
222	957	3335
223	960	3328
224	963	3317
225	965	3307
226	967	3295
227	970	3285
228	973	3278
229	975	3266
230	977	3255
231	979	3243
232	981	3232
233	985	3225
234	987	3215
235	990	3205
236	992	3193
237	994	3182
238	999	3181
239	1008	3194
240	1011	3185
241	1020	3197
242	1023	3188
243	1025	3178
244	1028	3169
245	1031	3160
246	1033	3149
247	1035	3139
248	1037	3130
249	1039	3118
250	1047	3124
251	1049	3114
252	1051	3103
253	1053	3095
254	1068	3120
255	1070	3110
256	1087	3143
257	1091	3139
258	1096	3137
259	1098	3126
260	1102	3121
261	1107	3120
262	1109	3110
263	1111	3099
264	1113	3088
265	1115	3077
266	1117	3066
267	1122	3065
268	1125	3057
269	1129	3053
270	1131	3044
271	1143	3060
272	1164	3100
273	1175	3115
274	1177	3105
275	1180	3097
276	1188	3102
277	1196	3106
278	1199	3099
279	1201	3090
280	1203	3079
281	1205	3069
282	1207	3058
283	1209	3048
284	1220	3063
285	1223	3055
286	1225	3045
287	1238	3062
288	1241	3054
289	1244	3046
290	1246	3037
291	1248	3028
292	1251	3020
293	1253	3010
294	1259	3010
295	1261	3000
296	1263	2991
297	1269	2991
298	1275	2991
299	1278	2982
300	1280	2972
301	1287	2976
302	1290	2968
303	1293	2960
304	1294	2950
305	1297	2942
306	1302	2939
307	1304	2931
308	1306	2922
309	1309	2913
310	1312	2907
311	1315	2901
312	1320	2898
313	1332	2911
314	1335	2904
315	1338	2896
316	1340	2887
317	1352	2901
318	1354	2892
319	1356	2883
320	1361	2880
